Quantity,L,M,T,I,Theta,N,J,SI unit,in SI base units,Category,Comment,Symbol
Comprimento,1,0,0,0,0,0,0,m,m,Valor Base,lowercase L,l
Massa,0,1,0,0,0,0,0,kg,kg,Valor Base,-,m
Tempo,0,0,1,0,0,0,0,s,s,Valor Base,-,t
Corrente elétrica,0,0,0,1,0,0,0,A,A,Valor Base,-,I
Temperatura,0,0,0,0,1,0,0,K,K,Valor Base,-,T
Quantidade de substância,0,0,0,0,0,1,0,mol,mol,Valor Base,-,n
Intensidade Luminosa,0,0,0,0,0,0,1,cd,cd,Valor Base,uppercase i,I_v
Massa Molar,0,1,0,0,0,-1,0,kg  / mol,kg  / mol,Molecular,-,M_mol
Angulo,0,0,0,0,0,0,0,1,1,Geometria,-,alpha
Distancia,1,0,0,0,0,0,0,m,m,Geometria,-,x
Comprimento Carac. ,1,0,0,0,0,0,0,m,m,Geometria,-,L
Diâmetro,1,0,0,0,0,0,0,m,m,Geometria,-,D
Raio,1,0,0,0,0,0,0,m,m,Geometria,-,R
Altura,1,0,0,0,0,0,0,m,m,Geometria,-,H
Variação de área,2,0,-1,0,0,0,0,m^2 / s,m^2 / s,Cinemática,-,A_dot
Area,2,0,0,0,0,0,0,m^2,m^2,Geometria,-,A
Volume,3,0,0,0,0,0,0,m^3,m^3,Geometria,-,V
Tempo,0,0,1,0,0,0,0,s,s,Cinemática,-,tau
Comprimento onda,1,0,0,0,0,0,0,m,m,Cinemática,-,lambda
Velocidade do som,1,0,-1,0,0,0,0,m / s,m / s,Cinemática,-,a_s
Velocidade da luz,1,0,-1,0,0,0,0,m / s,m / s,Cinemática,-,c
Velocidade,1,0,-1,0,0,0,0,m / s,m / s,Cinemática,-,v
Velocidade inicial,1,0,-1,0,0,0,0,m / s,m / s,Cinemática,-,v_0
Velocidade do fluxo,1,0,-1,0,0,0,0,m / s,m / s,Cinemática,-,u
Aceleração,1,0,-2,0,0,0,0,m / s^2,m / s^2,Cinemática,-,a
Aceleração gravitacional,1,0,-2,0,0,0,0,m / s^2,m / s^2,Cinemática,-,g
Frequência,0,0,-1,0,0,0,0,Hz,1 / s,Cinemática,-,f
Velocidade de rotação,0,0,-1,0,0,0,0,1 / s,1 / s,Cinemática,-,n_rot
Velocidade angular,0,0,-1,0,0,0,0,1 / s,1 / s,Cinemática,-,omega
Viscosidade dinâmica,-1,1,-1,0,0,0,0,Pa s,kg / (m s),Mecânico,-,\eta
Viscosidade cinemática,2,0,-1,0,0,0,0,m^2 / s,m^2 / s,Mecânico,-,nu
Força,1,1,-2,0,0,0,0,N,kg m / s^2,Mecânico,-,F
